MedInc,age,bedrooms,bathrooms,lot_size,garage,Latitude,Longitude,price,sqft,property_type,location_score
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,452600.0,6051.848355324125,House,1.7034126868352844
8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,358500.0,5455.0564341033805,House,1.6996544394520918
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,352100.0,7095.055242598809,House,1.5347968651641537
5.6431,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,341300.0,5118.42804656135,House,1.279883472278121
3.8462,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,342200.0,5490.029393505163,House,0.9961357948470908
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,269700.0,4273.873192893004,House,1.0262333558234136
3.6591,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,299200.0,4410.072059851331,House,0.9665909173094728
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,241400.00000000003,4302.568406353294,House,0.8814618767935463
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,226700.0,3899.840885669596,House,0.7172991045428372
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,261100.00000000003,4441.017356257831,House,0.9716598139901651
3.2031,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,281500.0,4846.636320261343,House,0.8945841607239366
3.2705,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,241800.00000000003,4282.530419248696,House,0.9052272646578514
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,213499.99999999997,4722.666426142196,House,0.8743559468673421
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,191300.0,3664.5467680225374,House,0.8109710519256004
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,159200.0,3874.8693486676984,House,0.6914493105668453
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,140000.0,3858.4861619619314,House,0.7243418706474751
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,152500.0,5216.2083994424775,House,0.8269830806926471
2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,155500.0,3706.7909924449796,House,0.7235839047886801
1.9911,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,158700.0,4739.4871021514155,House,0.7031977813781697
2.6033,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,162900.0,4836.910404386174,House,0.7998700102853302
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,147500.0,4083.8238764562725,House,0.603193660883389
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,159800.0,4047.060429224723,House,0.6593620892111853
1.725,52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,113900.0,4541.534215721282,House,0.6611780490812154
2.1806,52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,99700.0,4619.623691099461,House,0.7331216418451852
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,132600.0,4680.660512098367,House,0.7993489087574086
2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,107500.0,4061.1854234847224,House,0.7683670542791581
2.4597,49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,93800.0,4246.973546265215,House,0.777194198343043
1.808,52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,105500.0,4289.23190656158,House,0.6742845420562142
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,108900.0,3985.8998335616493,House,0.6481347199277827
1.6875,52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,37.84,-122.28,132000.0,4227.127413183827,House,0.6552564408093785
